locatie_id,latitude,longitude,verkeersintensiteit,meet_richting,meetpaal_id
PFR07_101604_N353_ZO,52.946484,6.116712,300.0,,PFR07_101604_N353_ZO
PFR07_101605_N354_NO,53.108753,5.799345,720.0,,PFR07_101605_N354_NO
PFR07_101605_N354_ZW,53.108753,5.799345,660.0,,PFR07_101605_N354_ZW
PFR07_101606_N354_NO,53.067665,5.694808,480.0,,PFR07_101606_N354_NO
PFR07_101606_N354_ZW,53.067665,5.694808,600.0,,PFR07_101606_N354_ZW
PFR07_101607_N354_N,53.014736,5.654092,720.0,,PFR07_101607_N354_N
PFR07_101607_N354_Z,53.014736,5.654092,780.0,,PFR07_101607_N354_Z
PFR07_101608_N355_O,53.21818,5.890654,960.0,,PFR07_101608_N355_O
PFR07_101608_N355_W,53.21818,5.890654,960.0,,PFR07_101608_N355_W
PFR07_101609_N355_O,53.226097,6.073448,180.0,,PFR07_101609_N355_O
PFR07_101609_N355_W,53.226097,6.073448,60.0,,PFR07_101609_N355_W
PFR07_101610_N355_O,53.260326,6.18172,420.0,,PFR07_101610_N355_O
PFR07_101610_N355_W,53.260326,6.18172,840.0,,PFR07_101610_N355_W
PFR07_101611_N356_NW,53.36015,5.914074,360.0,,PFR07_101611_N356_NW
PFR07_101611_N356_ZO,53.36015,5.914074,360.0,,PFR07_101611_N356_ZO
PFR07_101612_N356_N,53.16002,6.012605,960.0,,PFR07_101612_N356_N
PFR07_101612_N356_Z,53.16002,6.012605,780.0,,PFR07_101612_N356_Z
PFR07_101613_N356_N,53.22594,5.98121,840.0,,PFR07_101613_N356_N
PFR07_101613_N356_Z,53.22601,5.98112,1440.0,,PFR07_101613_N356_Z
PFR07_101614_N356_N,53.29561,6.01763,0.0,,PFR07_101614_N356_N
PFR07_101614_N356_Z,53.2956,6.01742,0.0,,PFR07_101614_N356_Z
PFR07_101615_N356_N,53.19405,5.97566,960.0,,PFR07_101615_N356_N
PFR07_101615_N356_Z,53.194,5.97548,840.0,,PFR07_101615_N356_Z
PFR07_101616_N357_N,53.232243,5.77713,900.0,,PFR07_101616_N357_N
PFR07_101616_N357_Z,53.232243,5.77713,1260.0,,PFR07_101616_N357_Z
PFR07_101617_N357_NO,53.31355,5.788524,420.0,,PFR07_101617_N357_NO
PFR07_101617_N357_ZW,53.31355,5.788524,420.0,,PFR07_101617_N357_ZW
PFR07_101618_N358_O,53.385246,5.988861,240.0,,PFR07_101618_N358_O
PFR07_101618_N358_W,53.385246,5.988861,240.0,,PFR07_101618_N358_W
PFR07_101619_N358_O,53.3275,6.11642,300.0,,PFR07_101619_N358_O
PFR07_101619_N358_W,53.3275,6.11642,240.0,,PFR07_101619_N358_W
PFR07_101620_N358_N,53.21986,6.176408,660.0,,PFR07_101620_N358_N
PFR07_101620_N358_Z,53.21986,6.176408,840.0,,PFR07_101620_N358_Z
PFR07_101621_N359_NW,52.862114,5.654442,900.0,,PFR07_101621_N359_NW
PFR07_101621_N359_ZO,52.862114,5.654442,600.0,,PFR07_101621_N359_ZO
PFR07_101622_N359_NO,52.882698,5.555248,600.0,,PFR07_101622_N359_NO
PFR07_101622_N359_ZW,52.882698,5.555248,720.0,,PFR07_101622_N359_ZW
PFR07_101623_N359_N,53.01405,5.473024,600.0,,PFR07_101623_N359_N
PFR07_101623_N359_Z,53.01405,5.473024,1020.0,,PFR07_101623_N359_Z
PFR07_101624_N359_NO,53.084045,5.522274,840.0,,PFR07_101624_N359_NO
PFR07_101624_N359_ZW,53.084045,5.522274,840.0,,PFR07_101624_N359_ZW
PFR07_101625_N359_NO,53.16033,5.677058,900.0,,PFR07_101625_N359_NO
